,hh_id,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,weighted_sum,multi_poor,ind_id_count
70,413,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,7
71,414,0.0,0.0,0.0,0.0,0,0,1,0.0,0,1,0.1111111111111111,0.0,2
72,415,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
73,417,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
74,419,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
75,420,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,6
76,421,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
77,422,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0.0555555555555555,0.0,1
78,423,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
79,424,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
80,425,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0.0555555555555555,0.0,3
81,501,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
82,502,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
83,503,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
84,504,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
85,505,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
86,506,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,7
87,507,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,12
88,508,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
89,509,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
90,510,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1,0.0555555555555555,0.0,2
91,513,0.0,0.0,0.0,0.0,0,0,1,0.0,1,0,0.1111111111111111,0.0,6
92,514,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
93,515,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
94,516,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
95,517,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
96,518,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
